id	lat	lon	name
2205347180	40.9782867	29.1141605	Selçuklar Camii
2205347192	40.9763234	29.1143268	Nuri Cıngıllıoğlu Mesleki ve Teknik Anadolu Lisesi
2246642429	41.0069036	29.2106293	Namık Kemal Caddesi
2252652400	41.0139212	29.1895147	Çekmeköy Metro
2252676353	41.0229900	29.1848973	Çekmeköy Spor Kompleksi;Çekmeköy Spor Salonu
2252682546	41.0254610	29.1931560	Öğretmenler Sitesi
2256012052	41.0236310	29.1780630	Plazalar
2258295697	41.0319817	29.1731083	Mimar Sinan Caddesi
2259746827	41.0258133	29.1814234	Dereyolu;Arkadaş Sokak
2259746831	41.0286530	29.1826730	Tepe;Bayraktar Sokak
2259746832	41.0308047	29.1839442	Refah Camii
2260662519	41.0208600	29.1928820	Erciyes Sokak
2261196361	41.0664295	29.0017606	Ali Sami Yen
2268511644	41.0195590	29.1923440	Pazaryeri
2268511665	41.0164080	29.1910010	Şahinbey Caddesi
2274989151	41.0668772	29.0019458	Ali Sami Yen
2275165989	41.0163680	29.1650930	Necip Fazıl Kısakürek
2277272512	41.0188521	28.6524399	Merter Çeşme Otobüs Durağı
2277543802	41.0199448	28.6550902	Yeşilkent IETT Durağı
2277626276	41.0189324	28.6331855	Beylikdüzü (E5)
2277630044	41.0095463	28.6569140	Beylikdüzü
2361256053	41.0892170	29.0085350	Üç Yol Durağı
2361256318	41.0891264	29.0083000	Üç Yol Durağı
2362619907	41.0320749	29.0469841	Burhaniye Mahallesi;Burhaniye
2362635403	40.9989315	29.0565712	Uzunçayır
2362635406	40.9916243	29.0376743	Söğütlüçeşme (Metrobüs)
2362656430	41.0659057	29.0129535	Zincirlikuyu
2363259651	41.0488994	28.9464247	Halıcıoğlu
2363269366	41.0674207	28.9761597	Okmeydanı Hastane
2363269370	41.0673481	28.9810394	Çağlayan
2363270655	41.0668188	28.9919601	Mecidiyeköy
2363429141	41.0981500	28.9032260	Fevzi Çakmak
2365233715	40.9985300	28.7984305	Sefaköy
2365906949	41.0065916	28.6651555	Güzelyurt
2366170572	41.0333747	28.9294743	Edirnekapı
2366784496	41.0564649	28.9611710	Okmeydanı
2366810458	40.9936968	29.0472128	Fikirtepe
2366832557	40.9978965	28.8726787	İncirli
2366851849	40.9923907	28.8341472	Yenibosna
2381400728	41.0961310	28.9050090	75. Yıl Mahallesi
2387384485	41.0097767	29.2120685	Sarıgazi Metro
2388273906	41.0065520	29.2073350	Balkan Sokak
2392986708	41.0195308	29.0752408	Alvarlızade Camii
2392986709	41.0155600	29.0758650	Bulgurlu Metro
2392986710	41.0167040	29.0732080	Gaziler
2453479322	40.9910448	29.0254590	Kadıköy Çarşı
2453767332	41.1087700	29.0296102	İTÜ
2453767333	41.1081459	29.0231357	Maslak
2453767334	41.1080531	29.0199405	İTÜ Rektörlüğü
2470464485	41.0661525	29.0130744	Zincirlikuyu
2470464488	41.0656326	29.0143036	Köprülü Kavşak
2476082345	40.9870773	29.0341375	Barış Manço
2530813384	41.0208770	29.1217413	Çakmak Köprüsü
2530818259	41.0199507	29.1299028	Tepeüstü
2536131869	40.9713920	29.1178011	Güvenlik (yalnızca 19F bu durakta durur)
2536131878	40.9722050	29.1183244	Necmettin Erbakan Caddesi
2536131890	40.9720107	29.1185448	Necmettin Erbakan Caddesi
2601211317	40.9683428	29.1077055	Halil Atamavcı İlkokulu
2769159232	40.9128236	29.1925086	Soğanlık Metro
2793778182	40.9342285	29.3530137	Beyazevler
2793792877	40.9460362	29.3904032	Ballıca Sapağı
2847386605	41.1915548	29.0537832	Balcıbağı
2856474668	40.9842993	28.6576111	İhlasMarmara Evleri
2856474669	40.9838732	28.6573553	İhlasMarmara Evleri
2866510546	41.1933597	29.0505701	Emlak Sitesi
2868824848	41.0596429	28.7036209	
2885351517	41.1971047	29.0621492	Atatürk Ormanı
2885351518	41.1902107	29.0480378	Kandilci Sokak
2885394581	41.2221192	29.1038732	Garipçe Yolu
2888983742	40.8966338	29.2535995	Üçevler
2888983743	40.8965900	29.2520382	Üçevler
3073956670	40.9860337	29.0478797	Kuyubaşı
3180242881	41.0221109	28.9750308	Karaköy
3222225187	41.0854504	28.9794848	Haliç Üniversitesi
3335798220	41.0518593	28.9859642	Pangaltı
3341123131	41.0158781	28.9525244	Fatih İtfaiye - Şehit Taner Çebi
3341128479	41.0154880	28.9526310	Fatih İtfaiye - Şehit Taner Çebi
3499281485	41.0111311	28.9481411	Aksaray
3661543943	41.1112674	29.0002032	Ayazağa Caddesi
3661543944	41.1116834	28.9973610	Maslak Yolu
3661543945	41.1115122	28.9977410	Maslak Yolu
3668671096	41.0867380	28.9082520	Spor Tesisi
3687901855	41.1414201	29.0280950	Bahçeköy Öğrenci Yurdu
3687901857	41.1536150	29.0366376	Kefeliköy
3687901871	41.1653079	29.0539488	Kocataş (Sahil)
3687901872	41.1652525	29.0545869	Kocataş (Sahil)
3687901880	41.1770168	29.0509289	Maden Kocataş
3687901881	41.1863582	29.0471301	Acarlar
3687901882	41.1849696	29.0431477	Nalbantçeşme
3688055919	41.1878637	29.0397317	Nalbanttepe
3688055920	41.1896896	29.0378970	Zekeriyaköy Trafo
3688069331	41.1869882	29.0415802	Gürgensu Sitesi
3688111955	41.2063993	29.0241800	Köprü
3688111956	41.2080952	29.0231764	Migros
3688111957	41.2082633	29.0229075	Migros
3688117471	41.2293316	28.9967539	Beşevler
3688117476	41.2486900	28.9802765	Güzel Evler
3688181286	41.2205322	29.0327116	Uskumruköy Yolu
3688181287	41.2207330	29.0325394	Uskumruköy Yolu
3726047284	41.0990240	28.8997170	Şair Abay Lisesi
3743920188	41.0535353	28.9842730	Osmanbey
3748852011	41.0514786	28.9874357	Pangaltı
3802326846	41.0936577	29.0135177	Orbay
3802367605	41.0935692	29.0135735	Orbay
3802369474	41.0924263	29.0117298	Orhan İlter
3802369976	41.0918878	29.0112812	Orhan İlter
3815926628	41.0997458	28.9844892	Seyrantepe
3815928143	41.0987516	28.9857297	Ulubatlı Hasan Cami
3815930564	41.0967696	28.9863489	Atatürk İlkokulu
3815941911	41.0946893	28.9870824	Mescid-İ Nur Cami
3815941912	41.0956390	28.9890566	İtfaiye
3815947291	41.0980820	28.9909169	Seyrantepe Ortaokulu
3815947292	41.0993748	28.9927338	Polis Lojmanları
3815947293	41.0995039	28.9971707	Seyrantepe Merkez Cami
3815947294	41.0965613	28.9969911	Yeşilce Mahallesi
3815961730	41.0939986	28.9928074	Benzinlik
3815961731	41.0925285	28.9939334	Çimentepe
3815961733	41.0906960	28.9994862	Sultan Selim Caddesi
3815961734	41.0905630	29.0029893	Yaşar Doğu İlkokulu
3815961735	41.0897730	29.0057090	Sultan Selim Mahallesi
3815980715	41.0868696	29.0066175	Emniyetevler
3816089860	41.0829587	29.0024950	Çeliktepe Muhtarlığı
3816089861	41.0830531	29.0007085	Osman Faruk Verimer Okulu
3816089863	41.0814243	28.9976347	Genç Osman Caddesi
3816089864	41.0820852	28.9953603	Keçi Deresi
3816120181	41.0847922	28.9946651	İkizler
3816120182	41.0858618	28.9936146	Armağan Sokak
3816120187	41.0860856	28.9916593	Aygün Sokak
3816120188	41.0867493	28.9887308	Hilal Park
3816318577	41.0880245	28.9865026	Yahya Kemal Dereiçi
3816318578	41.0884150	28.9829269	İski
3816318579	41.0825731	28.9762463	Ayazma Yolu
3816318580	41.0790505	28.9736539	Kağıthane
3816318581	41.0778706	28.9709189	Kağıthane Park
3816318582	41.0726930	28.9669270	Kağıthane Belediyesi
